Слово,Количество,Частота(%)
the,31964,5.44651
and,21209,3.61391
to,16518,2.81459
of,14944,2.54639
a,10128,1.72576
in,8502,1.4487
he,8140,1.38702
that,7816,1.33181
his,7677,1.30812
was,7348,1.25206
with,5571,0.949272
had,5333,0.908718
it,4717,0.803754
s,4716,0.803584
her,4642,0.790975
him,4615,0.786374
not,4600,0.783818
I,4540,0.773594
at,4233,0.721283
as,3797,0.646991
on,3698,0.630121
for,3413,0.581559
is,3242,0.552421
you,3241,0.552251
but,2938,0.500621
said,2842,0.484263
The,2767,0.471484
she,2735,0.466031
from,2544,0.433485
all,2533,0.431611
be,2426,0.413379
were,2419,0.412186
by,2413,0.411164
who,2084,0.355104
which,2053,0.349821
Pierre,1963,0.334486
one,1935,0.329715
have,1926,0.328181
He,1867,0.318128
this,1822,0.31046
they,1787,0.304496
so,1722,0.293421
what,1707,0.290865
up,1583,0.269736
or,1579,0.269054
an,1578,0.268884
Prince,1577,0.268713
them,1529,0.260534
been,1474,0.251163
did,1464,0.249459
their,1412,0.240598
would,1350,0.230034
me,1276,0.217424
sha,1273,0.216913
are,1244,0.211972
there,1236,0.210608
out,1233,0.210097
Nat,1215,0.20703
t,1183,0.201578
man,1181,0.201237
only,1163,0.19817
now,1157,0.197147
Andrew,1143,0.194762
But,1116,0.190161
could,1111,0.189309
my,1096,0.186753
when,1089,0.18556
And,1089,0.18556
no,1066,0.181641
will,1042,0.177552
more,1037,0.1767
himself,1017,0.173292
v,1012,0.17244
if,1011,0.17227
about,1002,0.170736
into,998,0.170054
Rost,965,0.164431
do,933,0.158979
time,924,0.157445
It,900,0.153356
face,893,0.152163
French,881,0.150118
went,861,0.14671
know,843,0.143643
eyes,826,0.140746
we,826,0.140746
old,812,0.138361
before,781,0.133079
men,780,0.132908
some,774,0.131886
room,771,0.131375
thought,766,0.130523
very,762,0.129841
She,754,0.128478
then,751,0.127967
how,735,0.12524
like,732,0.124729
CHAPTER,730,0.124388
Moscow,720,0.122685
began,718,0.122344
your,715,0.121833
see,709,0.12081
down,697,0.118765
has,693,0.118084
What,692,0.117913
came,682,0.11621
again,669,0.113994
asked,668,0.113824
Mary,666,0.113483
same,665,0.113313
army,657,0.11195
go,655,0.111609
looked,651,0.110927
without,642,0.109394
still,641,0.109223
after,640,0.109053
Nicholas,633,0.10786
felt,631,0.107519
say,630,0.107349
You,629,0.107179
Emperor,625,0.106497
can,624,0.106327
those,624,0.106327
away,616,0.104963
first,609,0.103771
life,608,0.1036
left,607,0.10343
over,597,0.101726
other,591,0.100704
come,591,0.100704
something,586,0.0998516
Princess,586,0.0998516
seemed,583,0.0993404
our,582,0.09917
such,575,0.0979772
Napoleon,575,0.0979772
another,571,0.0972957
head,567,0.0966141
its,565,0.0962733
day,562,0.0957621
people,549,0.093547
little,543,0.0925246
where,541,0.0921838
long,540,0.0920134
these,538,0.0916726
am,537,0.0915022
In,536,0.0913318
than,536,0.0913318
two,536,0.0913318
hand,536,0.0913318
Kut,535,0.0911614
whole,530,0.0903095
zov,529,0.0901391
should,521,0.0887759
back,516,0.0879239
own,502,0.0855384
heard,498,0.0848568
any,494,0.0841752
way,493,0.0840048
S,487,0.0829825
even,478,0.0814489
must,477,0.0812785
just,475,0.0809377
because,469,0.0799153
They,468,0.079745
P,465,0.0792338
n,464,0.0790634
saw,462,0.0787226
made,459,0.0782114
being,459,0.0782114
Russian,456,0.0777002
always,456,0.0777002
A,455,0.0775298
nya,451,0.0768482
right,451,0.0768482
good,449,0.0765074
love,448,0.076337
sov,440,0.0749739
count,439,0.0748035
young,437,0.0744627
officer,437,0.0744627
Den,433,0.0737811
nothing,432,0.0736107
look,431,0.0734403
off,429,0.0730995
round,427,0.0727587
moment,427,0.0727587
voice,425,0.072418
here,424,0.0722476
us,424,0.0722476
general,423,0.0720772
smile,416,0.0708844
don,415,0.070714
Yes,413,0.0703732
knew,413,0.0703732
When,408,0.0695212
told,407,0.0693508
looking,404,0.0688397
took,397,0.0676469
never,396,0.0674765
house,395,0.0673061
whom,395,0.0673061
words,395,0.0673061
father,391,0.0666245
much,390,0.0664541
too,389,0.0662837
turned,389,0.0662837
Well,387,0.0659429
That,387,0.0659429
suddenly,385,0.0656022
ll,383,0.0652614
having,380,0.0647502
countess,368,0.0627054
quite,366,0.0623646
though,364,0.0620239
everything,364,0.0620239
through,362,0.0616831
under,361,0.0615127
well,359,0.0611719
battle,353,0.0601495
dear,353,0.0601495
prince,349,0.0594679
understand,348,0.0592975
think,348,0.0592975
D,346,0.0589567
sat,345,0.0587863
soldiers,343,0.0584456
No,343,0.0584456
last,343,0.0584456
while,337,0.0574232
once,336,0.0572528
tell,335,0.0570824
get,334,0.056912
door,332,0.0565712
princess,330,0.0562304
lokhov,329,0.05606
take,328,0.0558896
herself,326,0.0555488
There,326,0.0555488
On,324,0.055208
evidently,324,0.055208
already,323,0.0550376
feeling,319,0.0543561
might,315,0.0536745
most,315,0.0536745
going,314,0.0535041
God,314,0.0535041
yet,314,0.0535041
At,312,0.0531633
let,308,0.0524817
stood,308,0.0524817
